zip3,total,white_nonhispanic,black_nonhispanic,aian_nonhispanic,asian_nonhispanic,nhpi_nonhispanic,other_race_nonhispanic,two_or_more_nonhispanic,hispanic,other_nonhispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_hispanic,pct_other_nonhispanic,race_proxy_group
115,727212.0,390275.0,118923.0,854.0,46406.0,59.0,4033.0,11872.0,154790.0,16818.0,0.5366729371902554,0.16353277998712892,0.06381357843379923,0.21285402331094647,0.023126681077870002,white_nonhispanic
116,125898.0,43065.0,45041.0,183.0,4802.0,90.0,1061.0,1624.0,30032.0,2958.0,0.34206262212267075,0.35775786748002353,0.03814198795850609,0.2385423120303738,0.02349521040842587,black_nonhispanic
117,1558881.0,1090536.0,96676.0,1454.0,75310.0,305.0,6592.0,20348.0,267660.0,28699.0,0.6995633406270267,0.06201627962621906,0.04831029437141129,0.1717000848685692,0.018410000506773768,white_nonhispanic
118,73274.0,48671.0,772.0,135.0,15104.0,6.0,236.0,1387.0,6963.0,1764.0,0.6642328793296395,0.010535797144962743,0.206130414608183,0.09502688538908753,0.024074023528127302,white_nonhispanic
119,252880.0,184551.0,16782.0,825.0,4768.0,0.0,605.0,3058.0,42291.0,4488.0,0.7297967415374882,0.06636349256564378,0.018854792787092692,0.16723742486554888,0.01774754824422651,white_nonhispanic
120,333555.0,294016.0,8139.0,589.0,8428.0,28.0,305.0,5170.0,16880.0,6092.0,0.8814618278844568,0.024400773485632056,0.025267197313786332,0.05060634677939171,0.018263854536733074,white_nonhispanic
121,281842.0,238258.0,12830.0,254.0,9416.0,56.0,492.0,7200.0,13336.0,8002.0,0.8453601663343292,0.04552195911184281,0.033408789321676687,0.04731729124828805,0.0283917939838633,white_nonhispanic
122,151237.0,91052.0,30427.0,171.0,11471.0,84.0,438.0,5773.0,11821.0,6466.0,0.6020484405271197,0.20118754008609005,0.07584784146736578,0.0781620899647573,0.042754087954667175,white_nonhispanic
123,162065.0,119383.0,15480.0,316.0,7627.0,66.0,3075.0,5539.0,10579.0,8996.0,0.7366365347237219,0.09551723074075216,0.047061364267423564,0.06527627803659025,0.05550859223151205,white_nonhispanic
124,150167.0,122046.0,7561.0,369.0,2492.0,136.0,288.0,4646.0,12629.0,5439.0,0.8127351548609215,0.050350609654584565,0.01659485772506609,0.08409970233140437,0.03621967542802347,white_nonhispanic
125,447908.0,323266.0,34568.0,393.0,12812.0,106.0,1564.0,9018.0,66181.0,11081.0,0.7217241040570832,0.07717656304419658,0.028604088339569733,0.14775578913526885,0.02473945542388169,white_nonhispanic
126,84731.0,50887.0,16447.0,178.0,3083.0,58.0,358.0,2905.0,10815.0,3499.0,0.600571219506438,0.19410841368566403,0.03638573839562852,0.12763923475469427,0.04129539365757515,white_nonhispanic
127,96428.0,71398.0,6526.0,276.0,1526.0,0.0,339.0,2517.0,13846.0,3132.0,0.740428091425727,0.067677438088522,0.015825278964616087,0.14358899904592026,0.03248019247521467,white_nonhispanic
128,224756.0,209359.0,3827.0,429.0,2641.0,32.0,159.0,2604.0,5705.0,3224.0,0.9314945985869121,0.017027354108455392,0.011750520564523305,0.02538308209791952,0.014344444642189752,white_nonhispanic
129,160802.0,143690.0,7272.0,1217.0,1454.0,69.0,305.0,1818.0,4977.0,3409.0,0.8935834131416276,0.045223318117933856,0.00904217609233716,0.03095110757328889,0.0211999850748125,white_nonhispanic
130,384276.0,351938.0,9424.0,893.0,5200.0,32.0,405.0,7353.0,9031.0,8683.0,0.9158469433428057,0.02452404001290739,0.01353194058437165,0.02350133758028084,0.02259573847963443,white_nonhispanic
131,176334.0,163009.0,3045.0,576.0,2482.0,20.0,98.0,2754.0,4350.0,3448.0,0.9244331779463972,0.01726836571506346,0.01407556115099754,0.024669093878662084,0.01955380130887974,white_nonhispanic
132,226871.0,143324.0,44130.0,1424.0,11557.0,60.0,575.0,8707.0,17094.0,10766.0,0.6317422676322668,0.19451582617434576,0.05094084303414716,0.0753467829735841,0.047454280185656166,white_nonhispanic
133,140256.0,132028.0,1461.0,254.0,1308.0,56.0,207.0,1823.0,3119.0,2340.0,0.9413358430298882,0.010416666666666666,0.00932580424366872,0.022237907825690167,0.016683778234086243,white_nonhispanic
134,182323.0,165769.0,5018.0,557.0,2294.0,92.0,62.0,2607.0,5924.0,3318.0,0.9092050920618902,0.02752258354678236,0.012582065894045183,0.032491786554631065,0.01819847194265123,white_nonhispanic
135,70188.0,43915.0,9370.0,214.0,7032.0,26.0,84.0,1988.0,7559.0,2312.0,0.6256767538610589,0.13349860374992875,0.10018806633612583,0.10769647233145267,0.03294010372143386,white_nonhispanic
136,231489.0,198617.0,8852.0,3953.0,3036.0,335.0,240.0,5132.0,11324.0,9660.0,0.8579975722388536,0.03823939798435347,0.013115094021746173,0.04891809114039976,0.04172984461464692,white_nonhispanic
137,131972.0,119104.0,3715.0,238.0,2745.0,46.0,99.0,1924.0,4101.0,2307.0,0.9024944685236262,0.02814991058709423,0.020799866638377837,0.031074773436789622,0.017480980814112083,white_nonhispanic
138,135963.0,123779.0,2223.0,250.0,3286.0,23.0,93.0,2140.0,4169.0,2506.0,0.9103873848032186,0.01635003640696366,0.02416833991600656,0.03066275383744107,0.01843148503637019,white_nonhispanic
139,79982.0,62823.0,6161.0,169.0,3484.0,0.0,38.0,2993.0,4314.0,3200.0,0.7854642294516266,0.07702983171213523,0.043559800955214924,0.0539371358555675,0.04000900202545573,white_nonhispanic
